image_rel_path,image_path,question,question_template_id,edge_head,question_type,target,answer_norm,count_capped,count_value,edge_answer,edge_class,head_id,image_id,question_id,question_length,question_norm,question_token_ids,split,target_edge_global,target_edge_head,target_original
images/valid_images/10816.JPG,dataset/images/valid_images/10816.JPG,How dense the area is?,12,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,10816.JPG,184,5,how dense the area is?,13 35 2 9 3 0 0 0 0 0 0,valid,6,1,47
images/valid_images/10173.JPG,dataset/images/valid_images/10173.JPG,Is the entire road flooded?,21,binary,Road_Condition_Recognition,0,no,,,no,binary:no,0,10173.JPG,48,5,is the entire road flooded?,3 2 23 8 4 0 0 0 0 0 0,valid,0,0,48
images/valid_images/10178.JPG,dataset/images/valid_images/10178.JPG,What is the condition of road?,24,condition,Road_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10178.JPG,73,6,what is the condition of road?,5 3 2 15 6 8 0 0 0 0 0,valid,4,2,49
images/valid_images/10809.JPG,dataset/images/valid_images/10809.JPG,How many buildings are non flooded?,5,count,Complex_Counting,11,4,4,4.0,4,count:4,3,10809.JPG,131,6,how many buildings are non flooded?,13 16 14 18 12 4 0 0 0 0 0,valid,11,3,30
images/valid_images/10824.JPG,dataset/images/valid_images/10824.JPG,What is the level of density in this image?,13,density,Density_Estimation,5,low,,,low,density:low,2,10824.JPG,214,9,what is the level of density in this image?,5 3 2 36 6 37 10 11 7 0 0,valid,5,0,46
images/valid_images/10173.JPG,dataset/images/valid_images/10173.JPG,Do the rescuers need to take immediate actions?,19,binary,Risk_Assessment,0,no,,,no,binary:no,0,10173.JPG,49,8,do the rescuers need to take immediate actions?,25 2 26 19 27 43 24 44 0 0 0,valid,0,0,48
images/valid_images/10809.JPG,dataset/images/valid_images/10809.JPG,What is the overall condition of the given image?,17,condition,Entire_Image_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10809.JPG,129,9,what is the overall condition of the given image?,5 3 2 31 15 6 2 32 7 0 0,valid,4,2,49
images/valid_images/10815.JPG,dataset/images/valid_images/10815.JPG,How many buildings can be recognized as non flooded?,7,count,Complex_Counting,12,5,5,5.0,5,count:5,3,10815.JPG,176,9,how many buildings can be recognized as non flooded?,13 16 14 29 30 47 48 12 4 0 0,valid,12,4,36
images/valid_images/11484.JPG,dataset/images/valid_images/11484.JPG,How dense the area is?,12,density,Density_Estimation,7,high,,,high,density:high,2,11484.JPG,264,5,how dense the area is?,13 35 2 9 3 0 0 0 0 0 0,valid,7,2,45
images/valid_images/10177.JPG,dataset/images/valid_images/10177.JPG,Is the entire road non flooded?,22,binary,Road_Condition_Recognition,1,yes,,,yes,binary:yes,0,10177.JPG,72,6,is the entire road non flooded?,3 2 23 8 12 4 0 0 0 0 0,valid,1,1,50
images/valid_images/10809.JPG,dataset/images/valid_images/10809.JPG,What is the condition of the road in this image?,25,condition,Road_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10809.JPG,133,10,what is the condition of the road in this image?,5 3 2 15 6 2 8 10 11 7 0,valid,4,2,49
images/valid_images/10815.JPG,dataset/images/valid_images/10815.JPG,How many buildings are in the image?,26,count,Simple_Counting,12,5,5,5.0,5,count:5,3,10815.JPG,179,7,how many buildings are in the image?,13 16 14 18 10 2 7 0 0 0 0,valid,12,4,36
images/valid_images/6428.JPG,dataset/images/valid_images/6428.JPG,How dense the area is?,12,density,Density_Estimation,5,low,,,low,density:low,2,6428.JPG,633,5,how dense the area is?,13 35 2 9 3 0 0 0 0 0 0,valid,5,0,46
images/valid_images/10178.JPG,dataset/images/valid_images/10178.JPG,Is the entire road flooded?,21,binary,Road_Condition_Recognition,0,no,,,no,binary:no,0,10178.JPG,74,5,is the entire road flooded?,3 2 23 8 4 0 0 0 0 0 0,valid,0,0,48
images/valid_images/10815.JPG,dataset/images/valid_images/10815.JPG,What is the condition of road?,24,condition,Road_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10815.JPG,177,6,what is the condition of road?,5 3 2 15 6 8 0 0 0 0 0,valid,4,2,49
images/valid_images/10816.JPG,dataset/images/valid_images/10816.JPG,How many buildings are non flooded in this image?,4,count,Complex_Counting,11,4,4,4.0,4,count:4,3,10816.JPG,188,9,how many buildings are non flooded in this image?,13 16 14 18 12 4 10 11 7 0 0,valid,11,3,30
images/valid_images/6429.JPG,dataset/images/valid_images/6429.JPG,What is the level of density in this image?,13,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,6429.JPG,635,9,what is the level of density in this image?,5 3 2 36 6 37 10 11 7 0 0,valid,6,1,47
images/valid_images/10178.JPG,dataset/images/valid_images/10178.JPG,Is the area mostly flooded?,14,binary,Entire_Image_Condition_Recognition,0,no,,,no,binary:no,0,10178.JPG,75,5,is the area mostly flooded?,3 2 9 17 4 0 0 0 0 0 0,valid,0,0,48
images/valid_images/10815.JPG,dataset/images/valid_images/10815.JPG,What is the overall condition of the given image?,17,condition,Entire_Image_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10815.JPG,178,9,what is the overall condition of the given image?,5 3 2 31 15 6 2 32 7 0 0,valid,4,2,49
images/valid_images/10816.JPG,dataset/images/valid_images/10816.JPG,How many buildings can be seen in the image?,29,count,Simple_Counting,11,4,4,4.0,4,count:4,3,10816.JPG,189,9,how many buildings can be seen in the image?,13 16 14 29 30 40 10 2 7 0 0,valid,11,3,30
images/valid_images/6434.JPG,dataset/images/valid_images/6434.JPG,What is the level of density in this image?,13,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,6434.JPG,668,9,what is the level of density in this image?,5 3 2 36 6 37 10 11 7 0 0,valid,6,1,47
images/valid_images/10809.JPG,dataset/images/valid_images/10809.JPG,Is there any non flooded building?,1,binary,Building_Condition_Recognition,1,yes,,,yes,binary:yes,0,10809.JPG,130,6,is there any non flooded building?,3 20 21 12 4 22 0 0 0 0 0,valid,1,1,50
images/valid_images/10816.JPG,dataset/images/valid_images/10816.JPG,What is the condition of the road in this image?,25,condition,Road_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10816.JPG,185,10,what is the condition of the road in this image?,5 3 2 15 6 2 8 10 11 7 0,valid,4,2,49
images/valid_images/10824.JPG,dataset/images/valid_images/10824.JPG,How many buildings are present in this image?,28,count,Simple_Counting,8,1,1,1.0,1,count:1,3,10824.JPG,217,8,how many buildings are present in this image?,13 16 14 18 49 10 11 7 0 0 0,valid,8,0,0
images/valid_images/6448.JPG,dataset/images/valid_images/6448.JPG,How dense the area is?,12,density,Density_Estimation,5,low,,,low,density:low,2,6448.JPG,734,5,how dense the area is?,13 35 2 9 3 0 0 0 0 0 0,valid,5,0,46
images/valid_images/10809.JPG,dataset/images/valid_images/10809.JPG,Is this area need immediate help?,20,binary,Risk_Assessment,0,no,,,no,binary:no,0,10809.JPG,132,6,is this area need immediate help?,3 11 9 19 24 28 0 0 0 0 0,valid,0,0,48
images/valid_images/10822.JPG,dataset/images/valid_images/10822.JPG,what is the current state of the area?,16,condition,Entire_Image_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10822.JPG,212,8,what is the current state of the area?,5 3 2 33 34 6 2 9 0 0 0,valid,4,2,49
images/valid_images/10824.JPG,dataset/images/valid_images/10824.JPG,How many buildings can be recognized as non flooded?,7,count,Complex_Counting,8,1,1,1.0,1,count:1,3,10824.JPG,218,9,how many buildings can be recognized as non flooded?,13 16 14 29 30 47 48 12 4 0 0,valid,8,0,0
images/valid_images/6470.JPG,dataset/images/valid_images/6470.JPG,How dense the area is?,12,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,6470.JPG,888,5,how dense the area is?,13 35 2 9 3 0 0 0 0 0 0,valid,6,1,47
images/valid_images/10809.JPG,dataset/images/valid_images/10809.JPG,Is the entire road flooded?,21,binary,Road_Condition_Recognition,0,no,,,no,binary:no,0,10809.JPG,134,5,is the entire road flooded?,3 2 23 8 4 0 0 0 0 0 0,valid,0,0,48
images/valid_images/10833.JPG,dataset/images/valid_images/10833.JPG,what is the current state of the area?,16,condition,Entire_Image_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10833.JPG,230,8,what is the current state of the area?,5 3 2 33 34 6 2 9 0 0 0,valid,4,2,49
images/valid_images/11484.JPG,dataset/images/valid_images/11484.JPG,How many non flooded buildings can be seen in this image?,9,count,Complex_Counting,13,28,5+,28.0,5+,count:5+,3,11484.JPG,262,11,how many non flooded buildings can be seen in this image?,13 16 12 4 14 29 30 40 10 11 7,valid,13,5,19
images/valid_images/6475.JPG,dataset/images/valid_images/6475.JPG,How dense the area is?,12,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,6475.JPG,894,5,how dense the area is?,13 35 2 9 3 0 0 0 0 0 0,valid,6,1,47
images/valid_images/10815.JPG,dataset/images/valid_images/10815.JPG,Do the rescuers need to take immediate actions?,19,binary,Risk_Assessment,0,no,,,no,binary:no,0,10815.JPG,180,8,do the rescuers need to take immediate actions?,25 2 26 19 27 43 24 44 0 0 0,valid,0,0,48
images/valid_images/10842.JPG,dataset/images/valid_images/10842.JPG,What is the overall condition of the given image?,17,condition,Entire_Image_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10842.JPG,245,9,what is the overall condition of the given image?,5 3 2 31 15 6 2 32 7 0 0,valid,4,2,49
images/valid_images/11484.JPG,dataset/images/valid_images/11484.JPG,How many buildings are in this image?,27,count,Simple_Counting,13,28,5+,28.0,5+,count:5+,3,11484.JPG,266,7,how many buildings are in this image?,13 16 14 18 10 11 7 0 0 0 0,valid,13,5,19
images/valid_images/6480.JPG,dataset/images/valid_images/6480.JPG,What is the level of density in this image?,13,density,Density_Estimation,5,low,,,low,density:low,2,6480.JPG,906,9,what is the level of density in this image?,5 3 2 36 6 37 10 11 7 0 0,valid,5,0,46
images/valid_images/10815.JPG,dataset/images/valid_images/10815.JPG,Is there any flooded building?,0,binary,Building_Condition_Recognition,0,no,,,no,binary:no,0,10815.JPG,181,5,is there any flooded building?,3 20 21 4 22 0 0 0 0 0 0,valid,0,0,48
images/valid_images/10842.JPG,dataset/images/valid_images/10842.JPG,What is the condition of road?,24,condition,Road_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,10842.JPG,246,6,what is the condition of road?,5 3 2 15 6 8 0 0 0 0 0,valid,4,2,49
images/valid_images/6428.JPG,dataset/images/valid_images/6428.JPG,How many buildings are non flooded?,5,count,Complex_Counting,9,2,2,2.0,2,count:2,3,6428.JPG,629,6,how many buildings are non flooded?,13 16 14 18 12 4 0 0 0 0 0,valid,9,1,11
images/valid_images/6482.JPG,dataset/images/valid_images/6482.JPG,What is the level of density in this image?,13,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,6482.JPG,922,9,what is the level of density in this image?,5 3 2 36 6 37 10 11 7 0 0,valid,6,1,47
images/valid_images/10815.JPG,dataset/images/valid_images/10815.JPG,Is the road easily accesible?,23,binary,Road_Condition_Recognition,1,yes,,,yes,binary:yes,0,10815.JPG,182,5,is the road easily accesible?,3 2 8 38 39 0 0 0 0 0 0,valid,1,1,50
images/valid_images/11484.JPG,dataset/images/valid_images/11484.JPG,What is the condition of road?,24,condition,Road_Condition_Recognition,4,non flooded,,,non_flooded,condition:non_flooded,1,11484.JPG,259,6,what is the condition of road?,5 3 2 15 6 8 0 0 0 0 0,valid,4,2,49
images/valid_images/6428.JPG,dataset/images/valid_images/6428.JPG,How many buildings are in this image?,27,count,Simple_Counting,9,2,2,2.0,2,count:2,3,6428.JPG,631,7,how many buildings are in this image?,13 16 14 18 10 11 7 0 0 0 0,valid,9,1,11
images/valid_images/6489.JPG,dataset/images/valid_images/6489.JPG,How dense the area is?,12,density,Density_Estimation,6,moderate,,,moderate,density:moderate,2,6489.JPG,943,5,how dense the area is?,13 35 2 9 3 0 0 0 0 0 0,valid,6,1,47
